date,ticker,sentiment_score
2024-04-21,BAJFINANCE.NS,-1.0
2024-04-28,BAJFINANCE.NS,-1.0
2024-05-05,BAJFINANCE.NS,1.0
2024-05-12,BAJFINANCE.NS,-1.0
2024-05-19,BAJFINANCE.NS,1.0
2024-05-26,BAJFINANCE.NS,1.0
2024-06-02,BAJFINANCE.NS,-1.0
2024-06-09,BAJFINANCE.NS,1.0
2024-06-16,BAJFINANCE.NS,1.0
2024-06-23,BAJFINANCE.NS,-1.0
2024-06-30,BAJFINANCE.NS,0.0
2024-07-07,BAJFINANCE.NS,1.0
2024-07-14,BAJFINANCE.NS,-1.0
2024-07-21,BAJFINANCE.NS,0.0
2024-07-28,BAJFINANCE.NS,-1.0
2024-08-04,BAJFINANCE.NS,1.0
2024-08-11,BAJFINANCE.NS,-1.0
2024-08-18,BAJFINANCE.NS,0.0
2024-08-25,BAJFINANCE.NS,1.0
2024-09-01,BAJFINANCE.NS,0.938
2024-09-08,BAJFINANCE.NS,1.0
2024-09-15,BAJFINANCE.NS,0.938
2024-09-22,BAJFINANCE.NS,1.0
2024-09-29,BAJFINANCE.NS,1.0
2024-10-06,BAJFINANCE.NS,-1.0
2024-10-13,BAJFINANCE.NS,0.61
2024-10-20,BAJFINANCE.NS,-1.0
2024-10-27,BAJFINANCE.NS,1.0
2024-11-03,BAJFINANCE.NS,1.0
2024-11-10,BAJFINANCE.NS,1.0
2024-11-17,BAJFINANCE.NS,-1.0
2024-11-24,BAJFINANCE.NS,1.0
2024-12-01,BAJFINANCE.NS,-1.0
2024-12-08,BAJFINANCE.NS,1.0
2024-12-15,BAJFINANCE.NS,1.0
2024-12-22,BAJFINANCE.NS,-1.0
2024-12-29,BAJFINANCE.NS,1.0
2025-01-05,BAJFINANCE.NS,1.0
2025-01-12,BAJFINANCE.NS,-1.0
2025-01-19,BAJFINANCE.NS,1.0
2025-01-26,BAJFINANCE.NS,1.0
2025-02-02,BAJFINANCE.NS,1.0
2025-02-09,BAJFINANCE.NS,1.0
2025-02-16,BAJFINANCE.NS,0.0
2025-02-23,BAJFINANCE.NS,0.0
2025-03-02,BAJFINANCE.NS,1.0
2025-03-09,BAJFINANCE.NS,1.0
2025-03-16,BAJFINANCE.NS,1.0
2025-03-23,BAJFINANCE.NS,1.0
2025-03-30,BAJFINANCE.NS,1.0
2025-04-06,BAJFINANCE.NS,-1.0
2025-04-13,BAJFINANCE.NS,1.0
2025-04-20,BAJFINANCE.NS,1.0
2025-04-27,BAJFINANCE.NS,0.61
2025-05-04,BAJFINANCE.NS,-1.0
2025-05-11,BAJFINANCE.NS,-1.0
2025-05-18,BAJFINANCE.NS,1.0
2025-05-25,BAJFINANCE.NS,1.0
2025-06-01,BAJFINANCE.NS,1.0
2025-06-08,BAJFINANCE.NS,0.938
2025-06-15,BAJFINANCE.NS,1.0
2025-06-22,BAJFINANCE.NS,-1.0
2025-06-29,BAJFINANCE.NS,0.938
2025-07-06,BAJFINANCE.NS,-1.0
2025-07-13,BAJFINANCE.NS,0.61
2025-07-20,BAJFINANCE.NS,1.0
2025-07-27,BAJFINANCE.NS,-1.0
2025-08-03,BAJFINANCE.NS,-1.0
2025-08-10,BAJFINANCE.NS,0.61
2025-08-17,BAJFINANCE.NS,-1.0
2025-08-24,BAJFINANCE.NS,0.938
2025-08-31,BAJFINANCE.NS,-1.0
2025-09-07,BAJFINANCE.NS,1.0
2025-09-14,BAJFINANCE.NS,1.0
2025-09-21,BAJFINANCE.NS,1.0
2025-09-28,BAJFINANCE.NS,1.0
2025-10-05,BAJFINANCE.NS,1.0
2025-10-12,BAJFINANCE.NS,1.0
2025-10-19,BAJFINANCE.NS,1.0
2025-10-26,BAJFINANCE.NS,0.938
2025-11-02,BAJFINANCE.NS,-1.0
2025-11-09,BAJFINANCE.NS,1.0
2025-11-16,BAJFINANCE.NS,-1.0
2025-11-23,BAJFINANCE.NS,1.0
2025-11-30,BAJFINANCE.NS,1.0
2025-12-07,BAJFINANCE.NS,1.0
2025-12-14,BAJFINANCE.NS,-1.0
2025-12-21,BAJFINANCE.NS,1.0
2025-12-28,BAJFINANCE.NS,0.0
2026-01-04,BAJFINANCE.NS,0.0
2026-01-11,BAJFINANCE.NS,-1.0
2026-01-18,BAJFINANCE.NS,1.0
2026-01-25,BAJFINANCE.NS,-1.0
2026-02-01,BAJFINANCE.NS,1.0
2026-02-08,BAJFINANCE.NS,1.0
2026-02-15,BAJFINANCE.NS,1.0
2026-02-22,BAJFINANCE.NS,1.0
2026-03-01,BAJFINANCE.NS,-1.0
2026-03-08,BAJFINANCE.NS,-1.0
2026-03-15,BAJFINANCE.NS,-1.0
2026-03-22,BAJFINANCE.NS,-1.0
2026-03-29,BAJFINANCE.NS,1.0
2026-04-05,BAJFINANCE.NS,-1.0
2026-04-12,BAJFINANCE.NS,1.0
2026-04-19,BAJFINANCE.NS,-1.0
2026-04-26,BAJFINANCE.NS,0.0
2026-05-03,BAJFINANCE.NS,0.938
2026-05-10,BAJFINANCE.NS,1.0
2026-05-17,BAJFINANCE.NS,-1.0
2026-05-24,BAJFINANCE.NS,1.0
2026-05-31,BAJFINANCE.NS,0.61
2026-06-07,BAJFINANCE.NS,-1.0
2026-06-14,BAJFINANCE.NS,1.0
2021-06-27,BHARTIARTL.NS,1.0
2021-07-04,BHARTIARTL.NS,-1.0
2021-07-11,BHARTIARTL.NS,1.0
2021-07-18,BHARTIARTL.NS,0.999
2021-07-25,BHARTIARTL.NS,0.0
2021-08-01,BHARTIARTL.NS,1.0
2021-08-08,BHARTIARTL.NS,0.0
2021-08-15,BHARTIARTL.NS,1.0
2021-08-22,BHARTIARTL.NS,-1.0
2021-08-29,BHARTIARTL.NS,-1.0
2021-09-05,BHARTIARTL.NS,1.0
2021-09-12,BHARTIARTL.NS,1.0
2021-09-19,BHARTIARTL.NS,1.0
2021-09-26,BHARTIARTL.NS,1.0
2021-10-03,BHARTIARTL.NS,-1.0
2021-10-10,BHARTIARTL.NS,1.0
2021-10-17,BHARTIARTL.NS,1.0
2021-10-24,BHARTIARTL.NS,1.0
2021-10-31,BHARTIARTL.NS,1.0
2021-11-07,BHARTIARTL.NS,0.0
2021-11-14,BHARTIARTL.NS,1.0
2021-11-21,BHARTIARTL.NS,-1.0
2021-11-28,BHARTIARTL.NS,0.0
2021-12-05,BHARTIARTL.NS,-1.0
2021-12-12,BHARTIARTL.NS,1.0
2021-12-19,BHARTIARTL.NS,-1.0
2021-12-26,BHARTIARTL.NS,1.0
